card,cardType,level,DE,EN,UK,RU
1-1,introduction,,"Wir befinden uns seit 24 Stunden mit einer Expeditionsgruppe auf der entlegenen und seit Jahrzehnten verlassenen Pazifikinsel Hangmans Island. Mit dabei sind diverse Fachleute und Forschende sowie ein paar Abenteuerlustige mit dem nötigen Kleingeld für ihr ausgefallenes Hobby - dem ""Lost Places Tourismus"". Jede Person verfolgt ihre eigene Agenda. Einziger gemeinsamer Nenner: Die vielen ""Lost Places"" von Hangmans Island lassen sämtliche Entdeckerherzen höherschlagen.","We have been on the remote and decades-abandoned Pacific island of Hangmans Island for 24 hours with an expedition group. With us are various experts and researchers, as well as a few adventurers with the necessary cash for their unusual hobby - 'Lost Places Tourism'. Everyone pursues their own agenda. The only common denominator: the many 'Lost Places' of Hangmans Island make all explorers' hearts beat faster.","Ми перебуваємо вже 24 години з експедиційною групою на віддаленому й десятиліттями закинутому тихоокеанському острові Hangmans Island. Разом із нами тут різні фахівці та дослідники, а також кілька шукачів пригод із необхідними коштами для свого незвичайного хобі — «туризму закинутими місцями». Кожен має свої цілі. Єдиний спільний знаменник: численні «закинуті місця» Hangmans Island змушують серця дослідників битися частіше.","Мы находимся уже 24 часа с экспедиционной группой на отдаленном и десятилетиями заброшенном тихоокеанском острове Hangmans Island. Вместе с нами здесь различные специалисты и исследователи, а также несколько искателей приключений с необходимыми средствами для своего необычного хобби — «туризма по заброшенным местам». Каждый преследует свои цели. Единственный общий знаменатель: многочисленные «заброшенные места» Hangmans Island заставляют сердца исследователей биться чаще."
1-2,question,1,"Ein neuer Tag beginnt. Es ist angenehm warm. Eine sanfte Brise weht ...
Frage: Aus welcher Richtung kommt der Wind?","A new day begins. It is pleasantly warm. A gentle breeze blows ...
Question: Which direction is the wind coming from?","Починається новий день. Приємно тепло. Віє легкий вітерець...
Запитання: З якого напрямку дме вітер?","Начинается новый день. Приятно тепло. Веет легкий ветерок...
Вопрос: С какого направления дует ветер?"
1-3,answer,,Die Fahne auf dem Kirchturm und der Rauch des Lagerfeuers zeigen es an: Der Wind kommt aus Westen.,The flag on the church tower and the smoke from the campfire indicate it: The wind comes from the west.,Прапор на дзвіниці церкви та дим від багаття вказують на це: вітер дме із заходу.,Флаг на церковной колокольне и дым от костра указывают на это: ветер дует с запада.
1-4,question,2,"Wir schauen uns um. Der Rest der Truppe scheint bereits fleißig unterwegs zu sein.
Frage: Wie spät ist es?","We look around. The rest of the group seems to be already busy on their way.
Question: What time is it?","Ми озираємося навколо. Схоже, решта групи вже активно розійшлася у справах.
Запитання: Котра година?","Мы оглядываемся вокруг. Похоже, остальная группа уже активно разошлась по делам.
Вопрос: Который час?"
1-5,answer,,"Die beiden Uhren am Kirchturm zeigen unterschiedliche Zeiten an - sie sind also entweder stehen geblieben oder kaputt. Sei's drum, die alte Sonnenuhr ist Verlass: Es ist 9 Uhr morgens.","The two clocks on the church tower show different times - so they have either stopped or are broken. Be that as it may, the old sundial can be relied upon: It is 9 o'clock in the morning.","Обидва годинники на дзвіниці церкви показують різний час — отже, вони або зупинилися, або зламалися. Менше з тим, на старий сонячний годинник можна покластися: зараз 9 година ранку.","Оба часа на церковной колокольне показывают разное время — значит, они либо остановились, либо сломались. Как бы то ни было, на старые солнечные часы можно положиться: сейчас 9 часов утра."
1-6,question,1,"Ron, unser Archäologe, hatte sich gestern schon eingehend mit der Sonnenuhr befasst. Er steht gerade ganz in der Nähe und notiert etwas auf seinem Block.
Frage: Trägt Ron heute ein rotes, blaues, braunes oder gelbes Hemd?","Ron, our archaeologist, had already studied the sundial in detail yesterday. He is standing nearby, writing something on his notepad.
Question: Is Ron wearing a red, blue, brown, or yellow shirt today?","Рон, наш археолог, ще вчора детально вивчав сонячний годинник. Зараз він стоїть зовсім поруч і щось занотовує у свій блокнот.
Запитання: Чи одягнений Рон сьогодні в червону, синю, коричневу або жовту сорочку?","Рон, наш археолог, еще вчера подробно изучал солнечные часы. Сейчас он стоит совсем рядом и что-то записывает в свой блокнот.
Вопрос: Одет ли Рон сегодня в красную, синюю, коричневую или желтую рубашку?"
1-7,answer,,"Rons Hemd ist braun. Er erstrahlt damit im archetypischen Indiana-Jones-Archäologen-Outfit. Als Kopfbedeckung trägt er einen feschen Cowboy-Forscher-Hut. Immer an seiner Seite: Sein über alles geliebter Hund Pacco. Hunde auf einer Expedition? Na ja, soll uns recht sein.","Ron's shirt is brown. He shines in the archetypal Indiana Jones archaeologist outfit. As headwear, he wears a stylish cowboy explorer hat. Always by his side: His beloved dog Pacco. Dogs on an expedition? Well, that's fine with us.","Сорочка Рона коричнева. Завдяки цьому він виглядає в архетиповому вбранні археолога в стилі Індіани Джонса. Як головний убір він носить стильний ковбойський капелюх дослідника. Завжди поруч із ним: його палко любимий пес Пакко. Собаки в експедиції? Що ж, нехай буде так.","Рубашка Рона коричневая. Благодаря этому он выглядит в архетипичном наряде археолога в стиле Индианы Джонса. В качестве головного убора он носит стильную ковбойскую шляпу исследователя. Всегда рядом с ним: его горячо любимый пес Пакко. Собаки в экспедиции? Что ж, пусть будет так."
1-8,question,3,"Ron lächelt uns an: ""Servusle! Ich erstelle gerade eine Übersicht aller Gebäude. Habt ihr schon den Überblick? Dann lasst uns mal abgleichen ...""
Frage: Wie viele Gebäude sehen wir auf der Insel?","Ron smiles at us: 'Servusle! I am currently creating an overview of all buildings. Do you already have the overview? Then let's compare ...'
Question: How many buildings do we see on the island?","Рон посміхається нам: «Привіт! Я саме складаю огляд усіх будівель. Уже зорієнтувалися? Тоді давайте звіримося...»
Запитання: Скільки будівель ми бачимо на острові?","Рон улыбается нам: «Привет! Я как раз составляю обзор всех зданий. Уже сориентировались? Тогда давайте сверимся...»
Вопрос: Сколько зданий мы видим на острове?"
1-9,answer,,"Insgesamt können wir 13 Gebäude sehen. Zunächst die Kirche. Um sie herum stehen drei kompakte Häuschen mit Flachdach – ein blaues, ein weißes und ein orange-gelbes, vermutlich Matrosenhäuser. Im Nordosten stehen neben einem alten Leuchtturm noch ein Trafohaus und eine hölzerne Fischerhütte, im Nordwesten ein Toilettenhaus und eine Art Sternwarte, im Südwesten ein offen gehaltener, parkhausähnlicher Betonklotz und eine massive alte Festung. Ron scheint zufrieden. „Die Gebäude habe ich schon zeichnerisch erfasst. Hier, schaut mal ...“","In total we can see 13 buildings. First, the church. Around it are three compact houses with flat roofs – a blue one, a white one, and an orange-yellow one, probably sailors' houses. In the northeast, next to an old lighthouse, there is a transformer house and a wooden fisherman's hut, in the northwest a toilet house and a kind of observatory, in the southwest an open, parking-garage-like concrete block and a massive old fortress. Ron seems satisfied. 'I have already sketched the buildings. Here, look ...'","Загалом ми бачимо 13 будівель. По-перше, церква. Навколо неї стоять три компактні будиночки з пласким дахом — синій, білий та оранжево-жовтий, ймовірно, будинки матросів. На північному сході біля старого маяка стоять трансформаторна будка та дерев'яний рибальський будиночок, на північному заході — вбиральня та щось на кшталт обсерваторії, на південному заході — відкрита бетонна споруда, схожа на паркінг, і масивна стара фортеця. Рон виглядає задоволеним. «Я вже замалював ці будівлі. Ось, погляньте...»","Всего мы можем видеть 13 зданий. Во-первых, церковь. Вокруг нее стоят три компактных домика с плоской крышей — синий, белый и оранжево-желтый, вероятно, дома матросов. На северо-востоке возле старого маяка стоят трансформаторная будка и деревянный рыбацкий домик, на северо-западе — уборная и что-то вроде обсерватории, на юго-западе — открытая бетонная постройка, похожая на паркинг, и массивная старая крепость. Рон выглядит довольным. «Я уже зарисовал эти здания. Вот, посмотрите...»"
1-10,image,,[Bild: Rons Zeichnung der Gebäude und der Karte von Hangmans Island],[Image: Ron's drawing of the buildings and map of Hangmans Island],[Зображення: Малюнок Рона з будівлями та картою Hangmans Island],[Изображение: Рисунок Рона со зданиями и картой Hangmans Island]
