card,cardType,level,DE,EN,UK,RU
1-1,introduction,,"Wir befinden uns als verdecktes Ermittlungsteam auf dem Gelände des Spooky Festivals. Der beschauliche, in die Jahre gekommene Vergnügungspark wird seit Wochen von einer Serie kleinerer Sabotageakte heimgesucht. Die Polizei tappt bislang völlig im Dunkeln. Nicht zuletzt, weil die Inhaberfamilie jegliche Einmischung von außen kategorisch ablehnt. Nun liegt es an uns als super-duper Undercover-Spezialeinheit: Tauchen wir ein in das düstere Geflecht des Spooky Festivals und lösen den Fall gemeinsam!","We are an undercover investigative team on the grounds of the Spooky Festival. The peaceful, aging amusement park has been plagued by a series of minor sabotage acts for weeks. The police are still completely in the dark. Not least because the owner family categorically rejects any outside interference. Now it's up to us as a super-duper undercover special unit: let's dive into the dark web of the Spooky Festival and solve the case together!","Ми перебуваємо на території Spooky Festival як секретний спецпідрозділ під прикриттям. Цей затишний, але вже старий парк розваг уже кілька тижнів потерпає від серії дрібних диверсій. Поліція досі блукає у повній темряві. Не в останню чергу тому, що родина власників категорично відкидає будь-яке втручання ззовні. Тепер черга за нами — супер-пупер секретним спецпідрозділом під прикриттям: пориньмо в похмуру павутину Spooky Festival і розкриймо цю справу разом!","Мы находимся на территории Spooky Festival в качестве секретного спецподразделения под прикрытием. Этот тихий, повидавший виды парк развлечений уже несколько недель страдает от серии мелких диверсий. Полиция до сих пор блуждает в полной темноте. Не в последнюю очередь потому, что семья владельцев категорически отвергает любое вмешательство извне. Теперь дело за нами — супер-пупер секретным спецподразделением под прикрытием: давайте погрузимся в мрачную паутину Spooky Festival и раскроем это дело вместе!"
1-2,question,1,"Die Zeiten der großen Besucherströme sind längst vorbei. Mittlerweile verirren sich – selbst an guten Tagen – höchstens noch ein paar Dutzend Gäste aufs Gelände des Spooky Festivals. Einzige Ausnahme: Halloween! Jedes Jahr am 31. Oktober wird der Park seinem alten Ruf noch einmal gerecht. Das Gruselfest lockt die Massen. Und welch Zufall: Heute ist Halloween! Der Abend beginnt – und damit auch unsere Mission. Wir steigen mit einer klassischen Detektivfrage ein ... Unten auf dem Gelände ist es windstill, aber darüber weht ein laues Lüftchen.
Frage: Von wo kommt der Wind?","The times of great visitor crowds are long gone. Meanwhile, even on good days, at most a few dozen guests wander onto the grounds of the Spooky Festival. Only exception: Halloween! Every year on October 31st, the park lives up to its old reputation once again. The spooky festival attracts the crowds. And what a coincidence: today is Halloween! The evening begins – and with it our mission. We start with a classic detective question ... Down on the grounds it is calm, but above a light breeze is blowing.
Question: From where does the wind blow?","Часи величезного натовпу відвідувачів давно минули. Зараз навіть у хороші дні на територію Spooky Festival забредає щонайбільше кілька десятків гостей. Єдиний виняток: Хелловін! Щороку 31 жовтня парк знову виправдовує свою колишню славу. Свято жахів приваблює натовпи людей. І який збіг: сьогодні якраз Хелловін! Вечір починається — а разом із ним і наша місія. Почнімо з класичного детективного запитання... Внизу, на землі, безвітряно, але нагорі дме легкий вітерець.
Запитання: Звідки дме вітер?","Времена огромного потока посетителей давно прошли. Сейчас даже в хорошие дни на территорию Spooky Festival забредает от силы пара десятков гостей. Единственное исключение: Хэллоуин! Каждый год 31 октября парк снова оправдывает свою былую славу. Праздник ужасов привлекает толпы людей. И какое совпадение: сегодня как раз Хэллоуин! Вечер начинается — а вместе с ним и наша миссия. Начнем с классического детективного вопроса... Внизу, на земле, безветренно, но наверху дует легкий ветерок.
Вопрос: Откуда дует ветер?"
1-3,answer,,"Klare Sache, der Wind kommt von Süden. Die Indikatoren dafür sind: Zwei Fahnen auf den Fahrgeschäften, die Wetterkrähne auf dem Dach des Autoscooters und die schmale Rauchsäule, die vom Strand herüberzieht. Sehr gut, wäre das schon mal geklärt.","Clear case, the wind is coming from the south. The indicators for this are: two flags on the rides, the weather vanes on the roof of the bumper cars, and the thin column of smoke drifting over from the beach. Very well, that's settled.","Ясна річ, вітер дме з півдня. Показниками цього є: два прапори на атракціонах, флюгери на даху автодрому та тонкий стовп диму, що тягнеться з боку пляжу. Чудово, з цим ми розібралися.","Ясное дело, ветер дует с юга. Показателями этого являются: два флага на аттракционах, флюгеры на крыше автодрома и тонкий столб дыма, тянущийся со стороны пляжа. Отлично, с этим мы разобрались."
1-4,question,2,"Als Nächstes müssen wir Hauptkommissar Jenkins finden, um unser Briefing für die Mission des heutigen Abends zu erhalten. Jenkins ist heute in Zivil unterwegs. Er trägt ein kariertes Hemd, dazu Basecap und Sonnenbrille.
Frage: Wo finden wir ihn?","Next, we need to find Chief Inspector Jenkins to receive our briefing for tonight's mission. Jenkins is in plain clothes today. He is wearing a plaid shirt, along with a baseball cap and sunglasses.
Question: Where can we find him?","Далі нам потрібно знайти головного комісара Дженкінса, щоб отримати інструктаж щодо сьогоднішньої місії. Дженкінс сьогодні одягнений у цивільне. На ньому картата сорочка, бейсболка та сонцезахисні окуляри.
Запитання: Де ми можемо його знайти?","Далее нам нужно найти главного комиссара Дженкинса, чтобы получить инструктаж по сегодняшней миссии. Дженкинс сегодня одет в гражданское. На нем клетчатая рубашка, бейсболка и солнцезащитные очки.
Вопрос: Где мы можем его найти?"
1-5,answer,,"Der schnauzbärtige Hauptkommissar Jenkins steht mit Kaffeebecher und Donut-Tüte zwischen Kinderkarussell und Kettenkarussell: „Ah, da seid ihr ja – meine Undercover-Spezialeinheit! Stellt hübsch die Lauscher auf: Es besteht die Sorge, dass ausgerechnet heute, an Halloween – dem einzigen guten Tag im Jahr, an dem auf diesem tristen Gelände noch der Bär steppt – weitere Sabotageakte verübt werden. Eigentlich wollten wir den Park deshalb geschlossen halten, aber die Bürgermeisterin hat ihr Veto eingelegt. Sie vertritt die Auffassung, Halloween beim Spooky Festival sei städtische Tradition.“","The mustachioed Chief Inspector Jenkins is standing with a coffee cup and a bag of donuts between the children's carousel and the wave swinger (kettenkarussell): 'Ah, there you are – my undercover special unit! Listen closely: there are concerns that more acts of sabotage will be committed today of all days, on Halloween – the only good day of the year when this dreary place is actually buzzing. Actually, we wanted to keep the park closed for this reason, but the mayoress vetoed it. She believes that Halloween at the Spooky Festival is a city tradition.'","Вусатий головний комісар Дженкінс стоїть зі склянкою кави та пакетом пончиків між дитячою каруселлю та ланцюговою каруселлю: «А, ось і ви — мій секретний спецпідрозділ під прикриттям! Тримайте вуха гостро: є побоювання, що саме сьогодні, на Хелловін — єдиний пристойний день у році, коли на цій понурій території життя вирує — будуть скоєні нові диверсії. Взагалі-то ми хотіли закрити парк із цієї причини, але мер наклала вето. Вона вважає, що Хелловін на Spooky Festival — це міська традиція».","Усатый главный комиссар Дженкинс стоит со стаканчиком кофе и пакетом пончиков между детской каруселью и цепочной каруселью: «А, вот и вы — мое секретное спецподразделение! Держите ушки на макушке: есть опасения, что именно сегодня, на Хэллоуин — единственный приличный день в году, когда на этой унылой территории жизнь бьет ключом — будут совершены новые диверсии. Вообще-то мы хотели закрыть парк по этой причине, но мэр наложила вето. Она считает, что Хэллоуин на Spooky Festival — это городская традиция»."
1-6,question,1,"Hauptkommissar Jenkins, der neuerdings auf gendergerechte Sprache achtet, fährt fort: „Wir haben uns darauf verständigt, den Abend normal stattfinden zu lassen. Allerdings unter der Voraussetzung, dass wir mit einigen Agent*innen und Polizist*innen vor Ort sind, um Schlimmeres zu verhindern und idealerweise den oder die Übeltäter*innen dingfest zu machen. Also: Schaut euch um, hört euch um, seid wachsam – und amüsiert euch!“ Verstanden, offizielle Anordnung: amüsieren! Am besten, wir verschaffen uns erst mal einen Überblick. Es gibt runde und viereckige Zelte.
Frage: Sehen wir mehr oder weniger als zwölf viereckige, mit bunten Planen bespannte Buden?","Chief Inspector Jenkins, who recently started paying attention to gender-neutral language, continues: 'We have agreed to let the evening proceed normally. However, on the condition that we are on site with some agents and police officers to prevent worse things and ideally catch the culprit(s). So: look around, listen around, be vigilant – and have fun!' Understood, official order: have fun! Best if we get an overview first. There are round and square tents.
Question: Do we see more or less than twelve square booths covered with colorful tarpaulins?","Головний комісар Дженкінс, який віднедавна стежить за гендерно-нейтральною мовою, продовжує: «Ми домовилися провести цей вечір як зазвичай. Однак за умови, що ми будемо присутні на місці з агентами та офіцерами поліції, щоб запобігти найгіршому та, в ідеалі, затримати зловмисника(ів). Тож: оглядайтеся, прислухайтеся, будьте пильними — і розважайтеся!» Вас зрозуміли, офіційний наказ: розважатися! Найкраще для початку озирнутися. Тут є круглі та чотирикутні ятки.
Запитання: Чи бачимо ми більше або менше дванадцяти чотирикутних яток, покритих кольоровими тентами?","Главный комиссар Дженкинс, который с недавних пор следит за гендерно-нейтральной речью, продолжает: «Мы договорились провести этот вечер как обычно. Однако при условии, что мы будем присутствовать на месте с агентами и офицерами полиции, чтобы предотвратить худшее и, в идеале, задержать злоумышленника(ов). Так что: осматривайтесь, прислушивайтесь, будьте бдительны — и развлекайтесь!» Вас поняли, официальный приказ: развлекаться! Лучше всего для начала осмотреться. Здесь есть круглые и четырехугольные палатки.
Вопрос: Видим ли мы больше или меньше двенадцати четырехугольных палаток, покрытых цветными тентами?"
1-7,answer,,"Nach einiger Diskussion – auch über die Sinnhaftigkeit der Frage – haben wir uns entschieden: Wir sehen mehr als zwölf dieser Buden. 14 Stück, um genau zu sein, davon zehn im Mittelbereich und vier im nordöstlichen Randbereich. Einige Buden verkaufen dies, andere das. Dosenwerfen hier, Entenangeln da. Dafür sind wir natürlich schon zu alt und zu cool. Obwohl, insgeheim würde uns das Entenangeln schon sehr reizen.","After some discussion – also about the usefulness of the question – we decided: we see more than twelve of these booths. 14 of them, to be exact, ten in the middle area and four in the northeastern edge. Some booths sell this, others that. Tin can alley here, duck fishing there. Of course, we are already too old and too cool for that. Although, secretly, duck fishing would really appeal to us.","Після деяких суперечок — зокрема про доцільність запитання — ми вирішили: ми бачимо більше дванадцяти таких яток. Усього 14 штук, якщо точніше: десять у центральній частині та чотири на північно-східній окраїні. В одних ятках продають одне, в інших — інше. Тут збивання банок, там ловля качечок. Звісно, ми вже занадто дорослі та круті для цього. Хоча, потайки, ловля качечок нас дуже навіть приваблює.","После некоторых споров — в том числе о целесообразности вопроса — мы решили: мы видим больше двенадцати таких палаток. Всего 14 штук, если точнее: десять в центральной части и четыре на северо-восточной окраине. В одних палатках продают одно, в других — другое. Тут сбивание банок, там ловля уточек. Конечно, мы уже слишком взрослые и крутые для этого. Хотя, втайне, ловля уточек нас очень даже привлекает."
1-8,question,2,"Wenden wir uns den Fahrgeschäften zu: Bei ihnen ist der Lack im sprichwörtlichen Sinne längst ab. Es rostet, wackelt und quietscht. Das Einzige, was hier regelmäßig geschmiert wird, ist wohl der TÜV.
Frage: Welche sechs Fahrgeschäfte hat das Spooky Festival?","Let's turn to the rides: their paint is literally long gone. It's rusting, shaking, and squeaking. The only thing regularly greased around here is probably the TÜV (inspection association).
Question: Which six rides does the Spooky Festival have?","Звернімо увагу на атракціони: з них у буквальному сенсі давно зійшла фарба. Все іржавіє, хитається та скрипить. Єдине, що тут регулярно «змащують» (підкуповують), це, мабуть, техогляд (TÜV).
Запитання: Які шість атракціонів є у Spooky Festival?","Обратим внимание на аттракционы: с них в буквальном смысле давно сошла краска. Все ржавеет, шатается и скрипит. Единственное, что здесь регулярно «смазывают» (подкупают), это, пожалуй, техосмотр (TÜV).
Вопрос: Какие шесть аттракционов есть в Spooky Festival?"
1-9,answer,,"Im Zentrum des Geländes steht das alte Kettenkarussell. Dazu kommen noch ein Kinderkarussell, ein Riesenrad, eine Geisterbahn („Haunted House“), ein Autoscooter („Bumper Cars“) und drehende Teetassen. Der kleine grüne Zug vorm Haupteingang ist mehr Fahrzeug als Fahrgeschäft. Das violette Muscle Car auf dem Podest könnte man im metaphorischen Sinne als „Fahrattraktion“ bezeichnen. Es ist hier aber nicht gefragt.","In the center of the grounds stands the old wave swinger (kettenkarussell). Additionally, there is a children's carousel, a Ferris wheel, a haunted house, bumper cars, and spinning teacups. The little green train in front of the main entrance is more of a vehicle than an attraction. The purple muscle car on the pedestal could metaphorically be described as a 'riding attraction,' but that is not what is being asked for here.","У центрі території стоїть стара ланцюгова карусель. До цього додаються ще дитяча карусель, колесо огляду, кімната страху («Haunted House»), автодром («Bumper Cars») та обертові чайні чашки. Маленький зелений потяг перед головним входом — це скоріше транспортний засіб, ніж атракціон. Фіолетовий маслкар на постаменті можна метафорично назвати «атракціоном на колесах», але про нього тут не йдеться.","В центре территории стоит старая цепочная карусель. К этому добавляются еще детская карусель, колесо обозрения, комната страха («Haunted House»), автодром («Bumper Cars») и вращающиеся чайные чашки. Маленький зеленый поезд перед главным входом — это скорее транспортное средство, чем аттракцион. Фиолетовый масл-кар на постаменте можно метафорически назвать «аттракционом на колесах», но о нем здесь речь не идет."
1-10,question,1,"Trotzdem erregt ausgerechnet das Muscle Car unsere Aufmerksamkeit.
Frage: Warum?","Nevertheless, of all things, the muscle car catches our attention.
Question: Why?","Попри це, саме маслкар привертає нашу увагу.
Запитання: Чому?","Тем не по менее, именно масл-кар привлекает наше внимание.
Вопрос: Почему?"
